comparison,beta_logit,se,odds_ratio,ci_low,ci_high,z,p
DSF vs DynamicFractal,1.191308518743976,0.20644074868352866,3.291385230089023,2.1961034948173546,4.932926320828586,5.77070431269477,7.894088716042802e-09
DSF vs FuzzyFractal,1.3126637515423663,0.2044407157524631,3.7160591985468496,2.4891964527795496,5.547611941871759,6.420755017957089,1.3560019773706244e-10
DSF vs ClassicalFractal,2.1879431574946473,0.19656535466410405,8.916853676279331,6.0658523134212645,13.107849544614249,11.130868719126324,0.0
DSF vs ForceThreshold,1.7934798719829332,0.19885480828073648,6.0103313009804005,4.070331508073819,8.8749730275998,9.019042021105967,0.0
DSF vs GraspNet,0.8886791957110658,0.21267462704084028,2.431915444738511,1.602935966371997,3.689612594908352,4.178585889986826,2.933272212679583e-05
DSF vs SoftFusionOnly,0.6590374220907815,0.21879503159382183,1.9329308421014257,1.2588506978802025,2.9679624808870555,3.012122429334867,0.002594279438584479
